ticker,alias,nome_do_ativo,categoria
CHF/CNH,CHFCNH,Swiss Franc vs Chinese Yuan,Outros
CHF/CZK,CHFCZK,Swiss Franc vs Czech Koruna,Outros
CHF/DKK,CHFDKK,Swiss Franc vs Danish Krone,Outros
CHF/HKD,CHFHKD,Swiss Franc vs Hong Kong Dollar,Outros
CHF/HUF,CHFHUF,Swiss Franc vs Hungarian Forint,Outros
CHF/ILS,CHFILS,Swiss Franc vs Israeli Shekel,Outros
CHF/JPY,CHFJPY,Swiss Franc vs Yen,Outros
CHF/MXN,CHFMXN,Swiss Franc vs Mexican Peso,Outros
CHF/NOK,CHFNOK,Swiss Franc vs Norwegian Krone,Outros
CHF/PLN,CHFPLN,Swiss Franc vs Zloty,Outros
CHF/RON,CHFRON,Swiss Franc vs Romanian Leu,Outros
CHF/SAR,CHFSAR,Swiss Franc vs Saudi Riyal,Outros
CHF/SEK,CHFSEK,Swiss Franc vs Swedish Krona,Outros
CHF/SGD,CHFSGD,Swiss Franc vs Singapore Dollar,Outros
CHF/THB,CHFTHB,Swiss Franc vs Thai Baht,Outros
CHF/TRY,CHFTRY,Swiss Franc vs Turkish Lira,Outros
CHF/ZAR,CHFZAR,Swiss Franc vs Rand,Outros
CHI.IDX/USD,CHI,China A50 Index,Outros
CI.US/USD,CI,CIGNA CORP,Outros
CL.US/USD,CL,COLGATE-PALMOLIVE CO,Outros
CLN.CH/CHF,CLN,Clariant AG,Outros
CMCSA.US/USD,CMCSA,COMCAST CORP-CLASS A,Outros
CME.US/USD,CME,CME GROUP INC,Outros
CMG.US/USD,CMG,CHIPOTLE MEXICAN GRILL INC,Outros
CMP/USD,CMPUSD,Compound vs US Dollar,Outros
CNA.GB/GBX,CNA,Centrica PLC,Outros
CNC.US/USD,CNC,CENTENE CORP,Outros
CNDX.GB/USD,CNDX,iShares NASDAQ 100 UCITS ETF,Outros
